Pay	Frequency
0	79795
2	814
4	1558
5	560
6	303
7	68
8	1366
9	29
10	1202
11	5
12	615
13	17
14	218
15	144
16	728
17	10
18	214
19	10
20	1411
21	30
22	111
23	13
24	478
25	94
26	109
27	12
28	218
29	12
30	423
31	10
32	260
33	12
34	82
35	32
36	208
37	8
38	67
39	10
40	1070
41	4
42	123
43	9
44	185
45	86
46	66
47	3
48	231
49	8
50	175
51	6
52	107
53	5
54	60
55	28
56	145
57	6
58	50
59	4
60	460
61	2
62	46
63	5
64	140
65	21
66	50
67	2
68	102
69	13
70	102
71	1
72	113
73	4
74	40
75	14
76	87
77	9
78	45
79	2
80	521
81	5
82	23
83	2
84	81
85	37
86	33
87	5
88	88
89	7
90	136
91	1
92	56
93	3
94	34
95	14
96	77
97	3
98	33
99	3
100	135
101	4
102	28
103	2
104	69
105	12
106	21
107	5
108	52
109	3
110	49
111	2
112	55
113	4
114	34
115	4
116	43
118	16
119	1
120	288
121	2
122	20
123	2
124	48
125	23
126	24
127	3
128	51
129	1
130	49
131	3
132	31
134	19
135	9
136	32
138	25
139	4
140	65
141	1
142	16
144	46
145	4
146	18
147	2
148	24
149	3
150	44
151	3
152	26
153	1
154	16
155	8
156	34
158	15
159	3
160	165
161	2
162	13
164	26
165	7
166	11
167	2
168	32
169	3
170	39
172	19
173	1
174	11
175	5
176	34
178	13
179	2
180	77
182	6
183	1
184	25
185	3
186	7
188	22
190	15
191	1
192	20
194	5
195	4
196	15
197	1
198	7
199	1
200	75
201	1
202	7
204	13
205	4
206	3
207	1
208	10
209	1
210	21
211	2
212	14
214	7
215	1
216	11
218	9
220	30
222	9
224	17
225	3
226	4
228	16
230	9
231	1
232	10
234	5
235	1
236	11
237	1
238	4
240	134
242	10
243	1
244	6
245	7
246	8
247	1
248	9
250	24
251	1
252	8
253	1
254	4
255	2
256	7
257	1
258	4
260	27
262	5
263	1
264	14
265	3
266	3
267	2
268	10
270	16
272	8
274	4
275	1
276	3
277	2
278	4
280	32
282	6
283	1
284	10
285	3
286	7
288	7
289	1
290	14
292	6
293	3
294	3
295	2
296	7
298	4
300	27
302	4
304	10
305	1
306	5
308	5
310	7
311	1
312	3
314	3
316	8
317	1
318	1
320	31
322	1
323	1
324	4
325	1
326	1
328	10
330	8
332	4
335	2
336	4
338	4
339	1
340	10
341	2
342	2
344	10
345	3
346	6
348	1
350	6
352	6
354	3
356	3
357	1
358	4
360	32
362	2
364	5
365	3
366	3
368	6
370	8
372	4
373	1
374	4
375	2
376	4
378	4
380	9
381	1
382	2
384	5
386	2
388	4
390	9
392	3
394	4
395	2
396	1
398	3
400	38
402	3
404	6
405	1
406	1
407	2
408	3
410	7
412	2
414	2
415	1
416	4
418	2
420	9
422	2
423	1
424	3
428	1
430	2
432	7
434	1
435	1
436	4
438	1
440	10
442	2
444	3
445	2
446	1
447	1
448	1
449	2
450	1
452	2
453	1
454	4
456	2
458	1
460	5
464	3
468	1
469	1
470	2
472	2
474	3
478	1
480	29
482	2
484	2
485	1
486	1
490	6
492	4
494	2
496	4
498	2
500	4
504	1
505	2
508	4
510	6
512	2
514	2
516	3
517	1
518	2
520	6
522	1
524	1
525	1
526	1
527	1
528	4
530	3
532	2
533	1
534	1
535	1
538	1
540	4
544	1
546	3
548	5
550	2
552	1
554	2
555	1
556	2
558	1
560	8
564	3
565	1
567	1
572	2
576	1
580	3
582	1
584	1
590	1
596	1
600	8
604	1
605	1
606	1
607	1
610	4
612	2
615	1
618	2
620	4
622	1
624	1
626	1
628	1
630	3
632	1
633	1
634	2
638	1
640	6
642	1
648	2
650	2
660	4
664	1
668	1
670	3
672	1
680	4
684	1
686	1
694	2
696	2
700	2
704	1
706	1
718	1
720	12
725	2
726	1
728	1
730	1
731	1
732	1
734	1
736	2
738	3
739	1
740	4
744	1
752	1
760	2
766	1
772	1
776	2
780	3
782	1
787	1
788	2
790	1
792	1
794	1
798	1
800	18
802	2
804	3
810	1
811	1
813	1
814	1
816	1
818	1
820	2
822	1
825	1
828	1
829	2
830	1
836	1
840	2
842	1
846	1
853	1
854	1
856	2
860	2
863	1
865	1
870	2
874	1
880	2
882	1
900	2
904	1
908	2
912	1
920	1
924	1
926	1
936	1
940	1
942	1
947	1
950	2
955	1
956	1
960	9
964	2
966	1
967	1
968	1
970	1
973	1
976	2
980	3
984	1
988	1
994	1
1000	3
1002	1
1008	1
1014	1
1020	3
1022	1
1026	1
1030	1
1035	1
1040	1
1050	1
1054	1
1056	1
1060	1
1068	1
1080	1
1082	1
1084	1
1086	1
1095	2
1096	1
1104	1
1105	1
1110	1
1122	1
1126	1
1140	1
1160	1
1168	1
1170	1
1180	1
1188	1
1191	1
1194	1
1200	7
1201	1
1208	1
1214	1
1215	3
1218	1
1226	1
1230	1
1233	1
1234	2
1236	1
1240	1
1260	2
1272	1
1280	1
1282	1
1306	1
1320	2
1335	1
1344	1
1371	1
1385	1
1400	1
1404	1
1410	1
1420	1
1424	1
1440	4
1448	1
1460	2
1480	1
1484	1
1490	1
1530	1
1531	1
1536	1
1570	1
1596	1
1597	1
1598	2
1600	4
1605	1
1606	1
1607	1
1610	2
1612	1
1615	1
1620	1
1625	1
1626	1
1628	1
1630	2
1642	1
1644	1
1650	1
1668	1
1670	1
1682	1
1684	1
1690	1
1700	2
1710	1
1716	1
1721	1
1749	1
1761	1
1782	1
1787	1
1796	1
1803	1
1810	1
1830	1
1862	1
1864	1
1868	1
1871	1
1889	1
1900	1
1920	2
1942	1
1950	1
1955	1
1976	1
1978	1
1983	1
1984	1
2006	1
2032	1
2060	1
2065	1
2067	1
2080	1
2085	1
2120	1
2128	1
2145	1
2148	1
2158	1
2168	1
2192	2
2208	1
2232	1
2252	1
2255	1
2270	1
2310	1
2330	1
2380	1
2392	1
2414	1
2418	1
2423	1
2452	1
2461	2
2494	1
2542	1
2548	1
2592	1
2608	1
2684	1
2734	1
2764	1
2838	1
2844	1
2847	1
2880	1
2910	1
2912	1
2938	1
2951	1
3024	1
3029	1
3040	1
3080	1
